question,answer,context,task_category,source
Báwo ni àwọn ènìyàn ṣe ń ṣàṣàrò àwọn òbí wọn tó ti kú ní ìgbà ayé àtijọ́?,"Wọ́n máa ń ṣe àyájọ́ èsìn ìbílẹ̀, bí ìṣẹ̀ṣe àti ẹbọ, láti bá wọn sọ̀rọ̀ àti láti ṣòwò pọ̀ pẹ̀lú wọn. Ó yẹ kí a máa rántí wọn nípa ṣíṣe àtúnṣe lórí àwọn àṣà àti ìṣe wọn tí ó dára.",,chat,self-instruct
Báwo ni o ṣe ń rí iṣẹ́ agbẹ̀ ni àwọn ilú kéréjé ní ìlú wa?,"Ìṣẹ́ agbẹ̀ ni àwọn ilú kéréjé rẹwà sí i. Àwọn agbẹ̀ ń ṣiṣẹ́ pẹ̀lú ayò, wọ́n sì gbin ọlọ́gbọn ọdún, ẹ̀wà, àgùdó, àti ọ̀pọ̀lọpọ̀ èso àti ewéko míì. Wọ́n tún ń lo àwọn ògùn ìsèdá láti dáàbò bò ọ̀gbìn wọn lọ́wọ́ àwọn ẹranko àjẹ̀kú.",,chat,self-instruct
"Nígbà tí ọmọdé kan bá ń bèèrè lọ́wọ́ àgbàlagbà nípa ìtàn ìlú rẹ̀:

Ọmọdé: ""Èmi fẹ́ mọ̀ nípa ìtàn ìlú wa, àwọn àgbà ìlú kí ni wọ́n ṣe láti kó ìlú jọ?""
Àgbàlagbà: ""","Àgbàlagbà: ""Ó dára pé o bẹ̀rẹ̀ láti mọ̀ nípa ìtàn ìlú rẹ. Àwọn àgbà wa sọ̀rọ̀sọ̀rọ̀ lórí bí wọ́n ṣe dá ìlú sílẹ̀, ó sì wà lára ìlànà wọn láti pín ilẹ̀, kọ́ ilé, àti fi ìgbàgbọ́ sínú ìṣèlú.""
Ọmọdé: ""Ẹ ṣeun, mo fẹ́ mọ̀ síwájú sìi.""
",,chat,self-instruct
"Ọmọ kan béèrè lọ́wọ́ ìyá rẹ̀ nípa àṣà àtijọ́.

Ọmọ: Ìyá, kí ni ìtàn Yorùbá sọ nípa Ògún?
Ìyá:","Ìyá: Ògún ni òrìṣà ogun, ó sì jẹ́ ajágbá ọlọ́jà, ó fẹ́ràn ìdájọ́ òdodo àti ìrẹlẹ̀.
Ọmọ: Ìyá, ńjẹ́ ògún lè gbà wá ní ìyàn?
Ìyá: Bẹ́ẹ̀ ni, ògún sọ di mímọ́, ó máa n gbà àwọn ènìyàn rẹ̀ ní ìṣẹ̀.",,chat,self-instruct
"Àgbà ọjà ìlú Èkó tún ti dé, tí wọ́n ti ń gbe àwọn ohun ìjẹ́ẹ̀mú dáníràjà tuntun wá.

Q: Báwo ni ọjà òní ṣe rí? Awọn èrò púpọ̀ wa bíi ti ìgbà mìíràn bí?","Q: Bẹ́ẹ̀ni, ó kún fún àwọn èrò àti àwọn oníṣòwò. Ilé iṣẹ́ wa pèlú ti gba àwọn èèrán àti ẹfọ tuntun wọlé. Ẹ ní látì yanràn láti wá wo àwọn èròjà náà.
A: Òótọ́ ni èyí! Èmi àti Mọ̀ríàyọ̀ máa bẹ níbẹ̀ láìpé. A fẹ́ rí àwọn ẹja tuntun tí ẹ gbé wá àti àwọn dáníràjà òkèèrè.",,chat,self-instruct
"Ọmọdekunrin kan bẹrẹ itan nipa ìrìnàjò àwọn Yorùbá lọ sí ilẹ̀ òkèèrè.

Ọmọdekunrin: Mo fẹ́ sọ fún ẹ nípa bí àwọn Yorùbá ṣe ń lọ sí ilẹ̀ òkèèrè ni àwọn ọjọ́ gbogbo. Wọn máa ń wo aso ojú òpó lọ tó jọ ti àwọn baba nla wọn.
Olùgbọ́: ","Olùgbọ́: Èyí dùn mó mi létí o. Ṣé o lè sọ diẹ̀ sii nípa ìrìnàjò tí wọn ń lọ ati iru àṣà àti ìṣẹ̀dá tí wọn mú lọ síbẹ̀?
Ọmọdekunrin: Bẹ́ẹ̀ ni, àwọn Yorùbá máa ń gbe àṣà wọn lọ síbẹ̀, bi ìwé kíkà, iṣẹ́ ọwọ́, orin àti àdáni si ilẹ̀ òkèèrè tó jẹ ki wọn jẹ mógójì láàrin àwọn míràn.",,chat,self-instruct
"Ọmọdé kan béèrè lọ́wọ́ ìyá rẹ̀ pé, kí ni ìtàn yìí kún fún?

Ọmọdé: Mama, kí ni ìtumọ̀ 'Àjàká ì bá àgbà jà'?
Ìyá:","Ìyá: Òmíràn ò, ó túmọ̀ sí pé à ń gbéraga bí àgbàlagbà tí ó ní ìrírí. Láti sọ pé tí agbára rẹ bá pọ̀, kò yẹ kí o fòyà jà fún ohunkóhun.
Ọmọdé: Mo ti gbọ́ó, màmá.",,chat,self-instruct
"Ọ̀rẹ́ mi, íwọ mọ̀ọ́ bí ìtàn ìgbà ọmọde mi ṣe lọ ni? 

Ọ̀rẹ́: Rárá o, kí ló dé?

Ẹni ń sọ:","Ẹni ń sọ: Nígbà tí mo wà lọ́mọdé, mò ń rìnrìn àjò lọ sí odò pẹ̀lú àwọn ọ̀rẹ́ mi láti lùwẹ́, àti sípẹ̀ẹ̀rẹ̀ àwọn èròjà adayeba fún ere. Ìgbà náà ni ayé gbà kálẹ̀ jù lọ.

Ọ̀rẹ́: Wáò, ìyẹn dára gán! Àní àwọn ìgbà náà dùn bí òtítọ́.",,chat,self-instruct
"Tunde n bẹrẹ iṣẹ tuntun ni ilé iṣẹ́ tó tóbi ni ìlú Eko lọjọ́ ajé.

Tunde: Ẹ káàárọ̀ o, Bọla. Mo bẹ̀rẹ̀ iṣẹ́ tuntun lónìí ni ilé iṣẹ́ XYZ.
Bọla: ","Bọla: Ẹ káàárọ̀ o, Tunde. Ayọ̀ ni mo rí i gbọ́. Báwo ni àyíká iṣẹ́ náà ṣe rí?
Tunde: Ó dára gan-an, gbogbo ènìyàn ni wọ́n ní káàbọ̀.",,chat,self-instruct
"Ọmọdé kan, Tunde, ṣàbẹ̀wò sí ilé ìwé ní ọjọ́ àìkú.

Tunde: Ẹ kú ojú lọ́nà o, èmi fẹ́ kọ́ ẹ̀kọ́ nípa ìtàn Yorùbá.
Olùkọ́: Káàbọ̀ o, Tunde. Ohun tí o fẹ́ mọ̀ nípa ìtàn Yorùbá ni wo?
Tunde: Mo fẹ́ mọ̀ nípa Ìjàpá àti Erin.
Olùkọ́:","Olùkọ́: Oun ìtàn náà tó gẹẹ́. Ìjàpá, tí ó jẹ́ ìránṣẹ́ alágbára, àti Erin, ẹranko tó lọ lágbára jù ní ìgbà náà, wá jẹ́ òrẹ́ tó tóótọ́ nígbà kan. Àmọ́, wọ́n ní ìjà nítorí ọ̀rọ̀ kan tó ṣàìsàn.
Tunde: Kíni wọn ṣe tó yọrí sí ìjà?
",,chat,self-instruct
"Ajọbi kan n kẹ́kọ̀ọ́ lórí ìtàn àgbàlagbà Yorùbá, ó sì fẹ́ mọ nípa ìtàn Moremi Àjàsorò.

Ajọbi: Mo gbọ́ pé Moremi Àjàsorò jẹ́ obìnrin alágbára nínú ìtàn ilẹ̀ Yorùbá. Sẹ é le sọ diẹ̀ nípa rẹ̀ fún mi?
Olùkọ́:","Olùkọ́: Bẹ́ẹ̀ ni, Moremi Àjàsorò jẹ́ ọ̀kan lára àwọn obìnrin alágbára nínú ìtàn ilẹ̀ Yorùbá, tí ó gba ìlú rẹ̀, Ilé-Ifẹ̀, là lọ́wọ́ ìkọlù àwọn ajẹ́. Ó ṣe ẹbọ nla kan sí ẹ̀ṣẹ̀ Òrìṣà látí rí àṣírí bí a ṣe lè ṣẹ́gun àwọn ọ̀tá náà, èyí sì nípa padà láti fi ọmọ rẹ̀ sílẹ̀ gẹ́gẹ́ bí ẹbọ. Ìrànṣẹ́ rẹ̀ àti ìrètí rẹ̀ fún Ilé-Ifẹ̀ kò gbàgbé.",,chat,self-instruct
"Ọmọde kan n bi obi rẹ nipa itan ọmọluabi ti a maa n sọ ni Yorùbá.

Ọmọdé: Màmá, ṣé ẹ lè sọ ìtàn ọmọluabi fún mi?
Obi:","Obi: Bẹẹni mọ, jẹ ki n sọ ọ itan tì Àjàká àti Àlùkò, ti bí won ṣe fi ìwà ọmọluabi ṣe àpẹẹrẹ gidi fún wa. 
Ọmọdé: Mo n gbọ́ yín, máa sọ ó.",,chat,self-instruct
"
Ọ̀rẹ́ mi, ó ti pẹ́ tí a kò rí ara wa. Ṣé o rántí ìgbà tí a lọ sí ọjà Èkó tó kún fún ènìyàn?

Ọ̀rẹ́ 1: Bẹ́ẹ̀ ni o, mo rántí dáadáa. Ìrírí náà dùn mí gan-an.
Ọ̀rẹ́ 2: ","Ọ̀rẹ́ 2: Lóòótọ́, ìrírí náà kọjá àṣàmúlò. Àwọn irú ẹ̀dá ènìyàn tí a pàdé làéláé, àti àwọn ọjà tuntun tí a rí. A gbọ́dọ̀ ṣètò ìrìnàjò mìíràn lọ síbẹ̀ lẹ́ẹ̀kan síi.
Ọ̀rẹ́ 1: Òótọ́ ni o, a gbọ́dọ̀ ṣe é lẹ́kọ̀ọ́ kan. Mo ti bẹ̀rẹ̀ sí ní ronú nípa àwọn ìlú mìíràn tí a lè lọ wo.",,chat,self-instruct
"
Akin kọ́ ilẹ̀kùn Tolu, tó ń gbé ní ilé aládùgbò wọn ní ìrọ̀lẹ́.

Akin: Ẹ kú ìrọ̀lẹ́ o, Tolu.
Tolu: Ẹ kú ìrọ̀lẹ́, Akin. Ṣe ọsẹ̀n náà dáradára ni?
Akin:","Akin: Bẹ́ẹ̀ ni o. A ṣe àwọn iṣẹ́ ilé kí a tó sílẹ̀ láti ṣiṣẹ́. Ìwọ náà ǹkọ́?
Tolu: Ẹ ṣeun, a ṣe irú èyí náà. A gbọ́n mílíìkì, a sì sè'é ṣe òÿò dídùn.",,chat,self-instruct
"Awọn ọmọde n jiroro nipa ere ti wọn fẹ lati ṣere lẹhin ileewe.

Ọmọde 1: Kini ere ti a fẹ ṣere loni lẹhin ile-ẹkọ?
Ọmọde 2: Mo n ronu nipa 'Ayọ̀ Kalẹ'. Bawo ni iyẹn ṣe dun si ọ?
Ọmọde 1: ","Ọmọde 1: O dun mọ mi daadaa! Mo gbadun ere Ayọ̀ Kalẹ gan an. Se o mu ayọ tọba wa pẹlu?
Ọmọde 2: Bẹẹni, mo mu. Jẹ́ ká lọ gba ibi kan to dara, ki a to bẹrẹ.",,chat,self-instruct
"Kẹmi àti Bọla ń ṣe àṣàrò lórí nọ́mbà àwọn ènìyàn tó ń lo ojú pópó Ibadan sí Lagos lójoojúmọ́.

Kẹmi: Ọrẹ́ mi, ṣe o mọ̀ pé nọ́mbà àwọn ènìyàn tí ó ń lo ojú pópó Ibadan sí Lagos gíga gan-an?
Bọla:","Bọla: Bẹ́ẹ̀ ni o, Kẹmi. Inú mi dùn pé àwọn ènìyàn náà lè rírìn àjò láìsí wahálà lọ síbẹ̀.
Kẹmi: Bẹ́ẹ̀ni, òótọ́ ni ẹ sọ.",,chat,self-instruct
"Nígbà tí Adé ń gbàdùn ètò ìrìnàjò rẹ̀ lọ sí Ilé-Ifẹ̀, ibi ìbílẹ̀ àṣà àti ìṣe Yorùbá, ó pàdé àgbàlagbà kan tí ó bẹ̀rẹ̀ sí ní kọ́ ọ nípa ìtàn àwọn obìnrin alágbára ní ìtàn Yorùbá.

Adé: Ẹ ṣeun fún ìkẹ́kọ̀ọ́ yìí. Ẹ jọ̀wọ́, ṣé Moremi ló jẹ́ obìnrin alágbára jùlọ ní ìtàn Yorùbá?
Àgbàlagbà:","Àgbàlagbà: Bẹ́ẹ̀ kọ́. Moremi jẹ́ apá kan pátápátá ṣùgbọ́n kò ṣókè kan sí ìyì láàrin àwọn obìnrin alágbára. Èmi-Ọ̀fọn nìkan kò ṣe e fọwọ́ wọ̀jà, àti pé ọ̀pọ̀lọpọ̀ àwọn obìnrin mìíràn bí Queen Aminat Ayòríodé ti Ilorin, ti wọ́n náà fi ìgboyà àti ọgbọ́n jà fún ètò àti ìṣàfihàn àwọn ènìyàn wọn.",,chat,self-instruct
"Láìpẹ́ yìí ni Àkànde pàdé Òrúnmìlà ní ọjà. Òrúnmìlà ní àwọn èròjà tó wùú lọ́pọ̀lọpọ̀.

Àkànde: Ẹ káàárọ̀ mà. Èròjà wo ni yín ra gan-an?
Òrúnmìlà:","Òrúnmìlà: Ẹ káàárọ̀ mà. Mò ń ra àwọn èròjà fún ìsẹ̀sí àti àlèjò.
Àkànde: Sé ẹ̀yin náà ń gbèrò láti gbálejò diẹ̀ ènìyàn ní ilé yín bí?
Òrúnmìlà: Bẹ́ẹ̀ ni mà, Àkànde. Àléjò tó bọ̀ wá.",,chat,self-instruct
"Njẹ o lè rántí ẹ̀kọ́ kan tí ọmọdé yoo kọ́ nípa Òrúnmìlà níléèwé?

Q: Báwo ni òǹkà ṣe pàtàkì fún àwọn Yorùbá?
A: ","Q: Báwo ni òǹkà ṣe pàtàkì fún àwọn Yorùbá?
A: Òǹkà ni ọ̀kan lára àwọn ẹ̀rọ ìkọ̀ni tí àwọn bàbá ńlá wa fi ń kọ̀wé, kíkà àti ìṣirò. Ó túmọ̀ sí pé, ìmọ̀ òǹkà jẹ́ ẹ̀yà pàtàkì ti òye àti ọgbọ́n. Oríkì, àlọ́ àpagbè àti ọ̀pọ̀ ìtàn ilẹ̀ Yorùbá ní òǹkà gẹ́gẹ́ bíi ipilẹ̀. 
Q: Ó dára gan an, ṣé ìwọ mọ àwọn èèyàn tí wọ́n sọ̀rọ̀ òǹkà di mímọ́ ní àṣà Yorùbá?
A: Bẹ́ẹ̀ni, Òrúnmìlà àti ọ̀pọ̀ àwọn ìránṣẹ́ Ifá jẹ́ àwọn tí wọn mọ̀ òǹkà jùlọ ní àṣà Yorùbá. Wọ́n lo òǹkà fún ọ̀rọ̀ Ifá àti àṣà ìgbáyé gbogbo. 
Q: Ó ṣeun fún àlàyé yìí.",,chat,self-instruct
"Ní ọjọ́ ọjà, oníṣòwò kan ń pé ọmọ rẹ̀ láti wá iranlọwọ wọn.

Oníṣòwò: ""Ọmọ mi, bọ wá iranlọwọ mi ní ọjà
Ọmọ: ""Mo ti ṣetán láti wá. Ṣé ẹnìkan ń bẹ níbi tita rẹ ni?""
Oníṣòwò:","Oníṣòwò: ""Bẹ́ẹ̀ ni, àwọn alábàáṣíṣẹ́pọ̀ mìíràn ti dé.""
Ọmọ: ""Ó dára. Màá bẹ̀rẹ̀ si í lọ ní ìsẹ́jú díẹ̀.""
Oníṣòwò: ""Ọlọrun á mú ọ dé bẹ́ẹ̀ ni alááfíà.""",,chat,self-instruct
"Kini iwọ yoo ṣe ti o ba ri apọn ti sọnu ni ọja?

Eniyan 1: Ṣe o gbọ pe Mo ri apọn ti sọnu ni ọja loni?
Eniyan 2: ","Eniyan 2: Lailai! Kini o ṣe pẹlu rẹ?
Eniyan 1: Mo mu lọ si ọffisi alakoso ọja lati fi lelẹ. Mo ro pe iyẹn ni ohun ti o tọ.",,chat,self-instruct
"Ojó tí ó rọ̀ tí ojú ọ̀run sì ṣí lórí ilé ìwé mú mi rántí ojó ìrìnàjò ìgbà èwe mi:

Báyọ̀: Àgbà, ojó tí ó rọ̀ yìí mú mi rántí ojó tó rọ̀ gán nígbà ti mò ń lọ sí ilé èkó lókè òkun.
Àgbà: Ẹ̀ẹ̀kan sí, Báyọ̀. Ojó irọ̀bi tó rọ̀ náà, ṣe e ranti bi ó ṣe pa ilé ?
Báyọ̀:","Báyọ̀: Bẹ́ẹ̀ ni, àgbà. Ó pa dandan ìlẹ̀, ṣùgbọ́n ó tún mú kí àwọn irugbìn yòó. Ó jẹ́ iranti dídùn.
",,chat,self-instruct
"Àlààyè lórí bí Àyànmọ́ ọmọ ènìyàn ṣe pàdé mọ́ ẹni tí yóò ṣe ayé rẹ̀ lára.

Bọ́lá: Mọ́remí, ó dájú pé àwọn ìṣẹ̀dá ìyàwó àti ọkọ tó tọ́ kọjú síta yẹ àwọn ọ̀dọ́mọdé míì lọ́wọ́.
Mọ́remí: E káàárọ o. Mo gbà pẹ̀lú rẹ, àmọ ṣé","Mọ́remí: ṣó o mọ̀ pé ọ̀rọ̀ àyànmọ́ náà ń kán púpọ̀ lórí àdúrà àti àwọn ìṣẹ́ ṣíṣe wa?
Bọ́lá: Bẹ́ẹ̀ ni, àmọ́ àdúrà láìṣàárè àti àwọn ìwà rere kékeré bí ọmọléwè, ìwàásù, àti ṣíṣe ìrànwọ́ ló ń mú ayé wa dàríjì.",,chat,self-instruct
"Ọmọ kan béèrè lọ́wọ́ ìyá rẹ̀ nípa ìtàn Ògún, ọlọ́run irin àti alágbára nínú àṣà Yorùbá.

Ọmọ: Màmá, ṣé ẹ le sọ ìtàn Ògún fún mi?
Ìyá:","Ìyá: Bẹ́ẹ̀ ni, ọmọ mi. Ògún ni ọlọ́run irin àti ògún, ọlọ́ta ijà àti alágbára ọwọ́. Ó ní àṣẹ lórí gbogbo ohun tí ń jẹ irin àti ó ń jẹ ki àlàáfíà jọba láàárín àwọn ènìyàn àti ilé ìṣẹ́ irin.
Ọmọ: Èyí tó gbajúmọ̀, màmá. Ṣé Ógún ní ìtẹ́ lẹ́bàá odò kan?
Ìyá: Bẹ́ẹ̀ ni, ọmọ mi. Ìtẹ́ Ògún wà lẹ́bàá odò Ògùn, níbẹ̀ ni a gbà gbọ́ pé ó gbé àti pèlú àwọn ọmọ-ogun rẹ̀, tí ń ṣàkóso àti dáàbò bò ilé rẹ.",,chat,self-instruct
"Báwo ni àwọn ìrìnàjò ilẹ̀ Yorùbá ṣe pẹ́ tó?

Olùkọ́: Mọ́ bí a ṣe máa ń lọ sí ilẹ̀ òkèèrè láti ilẹ̀ Yorùbá, ṣé o mọ bí ìrìnàjò ìgbàná ojú ọ̀nà náà ṣe máa gba tó?
Àkẹ́kọ̀ọ́:","Àkẹ́kọ̀ọ́: Bẹ́ẹ̀ni, Olùkọ́. Mí ò tíì lọ sí ilẹ̀ òkèèrè rí, ṣùgbọ́n mò ń gbọ́ pé àwọn ìrìnàjò wọ̀nyí lè gba wákàtí mẹ́fà tàbí jù bẹ́ẹ̀ lọ láti Nàìjíríà.
Olùkọ́: Ẹ̀yin ọmọdé yẹ kí ẹ máa kẹ́kọ̀ọ́ nípa àsà àti ìṣe ilẹ̀ Yorùbá, kí ẹ tó máa ronú ìrìnàjò sí ilẹ̀ òkèèrè. Àṣà wa ní ọ̀pọ̀ ìtàn tó dára láti kọ́ nípa rẹ̀.",,chat,self-instruct
"Tajudeen fẹ́ mọ ìtàn nípa Sàngó àti òyó méjì.

Tajudeen: Ẹ ṣé o. Mọ fẹ́ mọ ìtàn Sàngó àti òyó méjì.
Akíndélé:","Akíndélé: Bẹ́ẹ̀ ni ó ṣe. Sàngó jẹ́ ọba alágbára tó jọba ní Òyó. Òun àti àwọn òyó méjì tó jẹ́ asáájú ètò òṣèlú àti agbègbè níbẹ̀ ṣókùnkùn lórí iṣákóso rẹ̀.
Tajudeen: O ṣeun. Ṣé àwọn òyó méjì náà ní agbára bíi ti Sàngó?",,chat,self-instruct
"Bawo ni o ṣe n ṣe pẹlu gbigbona ojo yii?

Eniyan: Ajẹ́, ojo n gbona ju bayii lọ. Bawo ni a ṣe le dinku rẹ?","Idahun: O tọ kí a mu omi pupọ ati ki a wọ aṣọ inura ti ko nipọn. Gẹgẹ bi awọn baba nla wa ti ṣe, a le lo abẹla ati àwọn ewé agbọn lati sinmi.
Eniyan: O ṣeun, Emi yoo gbiyanju lati tẹle awọn imọran yẹn.",,chat,self-instruct
"Ọmọ kan n beere lọwọ baba rẹ̀ nipa ẹranko ti o gbajumọ julọ ni àṣà àti ìtàn Yorùbá.

Ọmọ: Bàbá, ẹranko wo ni o gbajumọ jùlọ ní àṣà Yorùbá?
Baba:","Baba: Akọmalu ni ẹranko ti o gbajumọ jùlọ ní àṣà àti ìtàn Yorùbá. Ó dúró fún agbára àti àṣẹ.
Ọmọ: O ṣeun, bàbá. Mo fẹ́ kọ ẹkọ síwájú síi nípa rẹ̀.",,chat,self-instruct
"Bí a bá sọ̀rọ̀ nípa ìtàn ìbílẹ̀ Yorùbá, ọ̀rọ̀ àgbáyé Olúmọ Rock wà lókè èrè.

Ènìyàn: Ìgba wo ni Olúmọ Rock di pàtàkì fún àwọn ènìyàn Ìlú Abẹ́òkúta?
Ènìyàn: ","Ènìyàn: Ó di pàtàkì nígbà tí àwọn ènìyàn Ìlú Abẹ́òkúta lo bí ààbò lọ́wọ́ ìkọlù àwọn ọmọ ogun láti ọ̀dọ̀ àwọn ìlú míì ní ọdún 1830.
Ènìyàn: Wáwo, ó dára gan an. Òun nìkan ni ìràntí tí wọ́n ní láti àkókò yẹn?
Ènìyàn: ",,chat,self-instruct
"Kọ́lá àti Tọ́pẹ́ ń jíròrò nípa ètò ìṣèlú ní Nàìjíríà.

Kọ́lá: Ọjọ́ wo ni ìdìbò ti ń bọ̀ lọ́nà?
Tọ́pẹ́: Ọjọ́ Sátidé tó ń bọ̀ ni wọ́n ti ṣètò ó. Ṣé o ti ṣètò láti kópa?
Kọ́lá:","Kọ́lá: Bẹ́ẹ̀ ni o. Mò ń lọ sí ibi ìkọ́ni láti ríi dájú pé káàdì ìdìbò mi dúró ṣinṣin. Ṣé o ti rí káàdì ìdìbò rẹ?
Tọ́pẹ́: Mò ti rí i. Mò ń retí ọjọ́ náà láìfọkànsí.",,chat,self-instruct
"Báwo ni ọjà ìlú Eko ṣe máa ń lọ láàárín ọ̀sẹ̀?

Kọlá: Ẹ káàbọ̀, ọjà dídùn ni Eko ò ní báyìí.
Àdùké: ","Àdùké: Kọlá, ó dáa. Mo fẹ́ ra èso pẹ̀lẹbẹ̀, àwọn tó tóbi gan-an.
",,chat,self-instruct
"Ọmọ ilé ìwé kan béèrè lọ́wọ́ ọ̀rẹ́ rẹ̀ pé, ó fẹ́ mọ nípa àwọn òrìṣà Yorùbá:

Ọmọ ilé ìwé: Ẹ jọ̀wọ́, kí ni òrìṣà ní ìgbà atijọ̀?
Ọ̀rẹ́:","Ọ̀rẹ́: Àwọn òrìṣà jẹ́ ọ̀kan lára èèyàn àyíká ní ìgbà atijọ̀ tí Yorùbá gbà gbọ́. Àpẹẹrẹ ni Ṣàngó, òrìṣà àánú àti ìdájọ́, àti Yemọja, ìyá gbogbo.
Ọmọ ilé ìwé: Gan-an ni mo fé mọ. Ṣé wọ́n n kílọ̀ fún àwọn eniyan nípa ìwà rere?",,chat,self-instruct
"Kola wá láti 
ọjà lẹ́yìn tí ó ti tan iṣẹ́ ọwọ́ rẹ̀. 

Kola: Ẹ̀ káàbọ̀ o, ìyá agba.
Ìyá Agba: Káàbọ̀ o, Kola. Báwo ni ṣíṣe iṣẹ́ ọwọ́ tán?
Kola:","Kola: O dára o, mo ti pari gbogbo ètò tó yẹ fún ọjọ́ náà. Báwo ni ọjọ́ ìyá, ní ilé bí?
Ìyá Agba: Ọlọ́run ṣeun, a ń gbé líle. Ọjọ́ rẹ bí?",,chat,self-instruct
"Adanwo nla ní a figagbaga pẹlu ni àwọn ọmọ ilé ẹ̀kọ́ Yorùbá lóri ìtàn àti àsà.

Akẹ́kọ̀ọ́: Mo kí yín, Mo fẹ́ bèèrè, ta ni Olúmọ̀ Rock?
Olùkọ́:","Olùkọ́: Olúmọ Rock jẹ́ ibi àbẹwò pàtàkì ní ìlú Abẹ́òkúta. Ó jẹ́ ọkàn lára àwọn ayérayé, àwọn ènìyàn lo án gẹ́gẹ́ bí ibi ààbò lásìkò ogun.
Akẹ́kọ̀ọ́: Àgbàjan, èyí gàn an ní ìtumọ̀!",,chat,self-instruct
"Nigbati eniyan kan ba n beere nipa asa ati ohun elo asegbeyin ti Yoruba n lo nigbakanri.

Beere: Bawo ni awọn Yoruba ṣe maa n ṣe asegbeyin fun awọn òkú wọn ni igba atijọ?
Idahun:","Idahun: Awọn Yoruba maa n ṣe asegbeyin fun awọn òkú wọn nipa sisẹ ilẹ fun wọn pẹlu ohun ọṣọ bii ileke, ati fifun wọn ni ounjẹ ati mimu bi ẹni pe wọn ṣi wa laaye. Wọn tun maa n ṣe ayẹyẹ iranti wọn lẹẹkan si ni ọdun, eyi ti a mọ si 'iseku'.
Beere: O da mi loju pe eyi ni ọna abayo ti won fi n ṣetọju aṣa ati ilana wọn?",,chat,self-instruct
"
Ọgbẹni Ade gba lẹta lati ọdọ ọrẹ rẹ l'Amẹrika.

Ọgbẹni Ade: Mo ti gba lẹta lati ọdọ Tunde. O sọ pe o fẹ rán ẹbun wá sí mi l'Amẹrika.
Ọmọ Ọgbẹni Ade: Eh yeh! Kí ni o fẹ rán wá?
Ọgbẹni Ade:","Ọgbẹni Ade: O sọ pé o fẹ rán bàtà àti aṣọ ilẹ̀ Yorùbá wá, kí n máa ránṣẹ́ sí wa ní Nàìjíríà.
Ọmọ Ọgbẹni Ade: Òótọ́ ni i? Èyí dára pupọ! Mo dúpẹ́ lọ́wọ́ ọ̀rẹ́ wa.",,chat,self-instruct
"Bawo ni a ṣe le sọ aroko ni ede Yoruba?

Kẹmi: Mo fẹ kọ aroko nipa aṣa ilu mi.
Bayo: O dabi ẹnipe iṣẹ akanṣe yẹn jẹ iṣẹ ti o lagbara. Ṣe o ni akori kan ni lokan?
Kẹmi:","Kẹmi: Bẹẹni, mo fẹ kọ nipa Ajoyo Egungun ati itumọ rẹ si aṣa Yoruba.
Bayo: Oh, iyẹn akori ti o dara gidigidi. Ṣe o nilo iranlọwọ pẹlu iwadii?
Kẹmi: Bẹẹni, emi yoo dùn lati gba iranlọwọ. E ṣe pupọ.",,chat,self-instruct
"Akin n sọ fun Chinedu nipa oríkì ilú Eko.

Akin: Ìlú Eko ni ilú ìwà, ìlú ọ̀pọ̀lọpọ̀ ilé ọba.
Chinedu: Lóòótọ́ ni. Ṣé èyí túmọ̀ sí pé ìtàn àti aṣà ìlú náà kún fún ọlá àti ẹ̀kọ́?
Akin:","Akin: Gbogbo bẹ́ẹ̀ ni mọ. Ìtàn àti aṣà Eko tóbi láìpẹ́, ó sì ní ọ̀pọ̀lọpọ̀ ìtàn ìgbelárugẹ tó lè kọ́ ọ lérí nípa ẹ̀tọ́ ọmọnìyàn àti òmìnira.",,chat,self-instruct
"Akẹkọọ kan n beere lọwọ olukọ rẹ nipa itan-akọọlẹ Yorùbá.

Akẹkọọ: Olukọ, ṣe o le kọ wa nipa ajogunba Yorùbá?
Olukọ:","Olukọ: Bẹẹni, Yorùbá ni ọpọlọpọ ajogunba ati itan-akọọlẹ ti o lẹwa. A le bẹrẹ pẹlu itan Ọbafẹmi Awolọwọ ati ipa rẹ ni ogun independence Naijiria.
Akẹkọọ: E dupe sir, a n foju sọna lati kọ ẹkọ si.",,chat,self-instruct
"Akokunrin kan n beere alaye lọwọ baba agba kan nipa itan Ogun Ejigbomekun ni Ijeshaland.

Akokunrin: Bàbá, bawo ni Ogun Ejigbomekun ṣe waye ni Ijeshaland?
Baba agba:","Baba agba: Ogun Ejigbomekun ṣe pataki pupọ ni itan Ijeshaland. O jẹ́ ogun tí wọn dá láti daabo bo ilu lọwọ ọta. Awọn akikanju ilu fi ọgbọn ati agbara jagun lati gba ilu wọn pada kuro lọwọ awọn ọta.
Akokunrin: E ṣeun pupọ, Bàbá.",,chat,self-instruct
