variable_1,variable_2
Ọ̀kánjúwà àgbẹ̀ tí ńgbin òwú sóko àkùrọ̀.,Greed sometimes makes people work against their own interests.
Ojú là ńgbó re ọ̀nà Ìbàdàn: ó fi ogún ọ̀kẹ́ gbàdí.,One should take the necessary precautions when one embarks on a dangerous venture.
"“Ó ḿbọ̀, ó ḿbọ̀!” la fi ńdẹ́rù ba ọmọdé; bó bá dé tán ẹ̀rù a tán.",Looming problems often cause consternation out of all proportion to their real damaging force.
"“Ó kún mi lójú,” ẹ̀kọ Arogun; ọ̀kan ṣoṣo ni mo rà, igba ènì ló fi sí i.",Said of people who have gone well beyond the call of duty.
"A rí èyí rí ni tonílé; a ò rí èyí rí ni tàlejò; bónílé bá ní ká jẹ ẹ́ tán, àlejò a ní ká jẹ ẹ́ kù.","A host might minimize his hospitality, but the guest should praise it; if the host is lavish, the guest should not be greedy."
“Má fẹ̀ẹ́ ọwọ́-ọ̀ mi kù” tí ńyan gúgúrú fún eégún; eégún náàá ní “Má fẹ̀ẹ́ ọwọ́-ọ̀ mi kù”; ó fún un ní ọmọláńgidi.,Stinginess will not win generosity in return.
"Kùbẹ̀rẹ̀, ká roko ìpére. Ó ní èyí tí òún lọ òun òì bọ̀.","When one has not recovered from the consequences of a venture, one is not ready to embark on another one."
“Ẹ fà á wọlé” ló yẹ ẹlẹ́ṣin.,To be able to afford a horse but not a groom is something of a disgrace.
“Wo ọmọ-ọ̀ mi dè mí”: ó ńlo kíjìpá mẹ́ta gbó; mélòó ni ọlọ́mọ-ọ́ máa lò gbó?,The caretaker should not use up all his own resources for the benefit of his/her employer.
“Ṣé kí nfìdí hẹ?” làfòmọ́ fi ńdi onílé.,"Give people an inch, and they are liable to take several miles."
"Kó wó, kó wó, àràbà ò wó; ojú tìrókò.",The person whose enemies have been wishing and expecting to fail has not failed; the enemies are shamed.
“Orí jẹ́ kí mpé méjì” obìnrin ò dénú.,People often pay lip service to concepts they do not believe in.
"“Tèmi ò ṣòro,” tí kì í jẹ kọ́mọ alágbẹ̀dẹ ní idà.",The person who always yields to others will never get anywhere.
"“Ọmọ-ọ̀ mi ò yó” la mọ̀; “ọmọ-ọ̀ mí yó, ṣùgbọ́n kò rí sáárá fẹ́,” a ò mọ ìyẹn.","People should care for their children, not spoil them with over-indulgence."
Ìyàwó mi ò sunwọ̀; nítorí ọmọ ni mo ṣe fẹ́ ẹ; ẹni mélòó la ó wìí fún tán?,One should not embark on the endless and futile task of justifying one's decisions to people.
“Má kọjá mi Olùgbàlà” kì í ṣe orin à-kúnlẹ̀-kọ.,The Redeemer helps only those who make an effort in their own behalf.
“Jẹ́ kí nfìdí hẹ́ ẹ”-ẹ́ gbàjòkó; àfòmọ́ di onílé.,Said of people who take over by wiles what belongs to others.
"“Fọ́ ẹ̀kọ ká jọ mu ú,” kò tó ọkọlóbìnrin-ín ṣe ni.",One should not be tentative in exercising one's authority.
"Igi ganganran má gùnún mi lójú, òkèèrè la ti ńwò ó wá.",One does not wait until problems arise before one begins preparing to deal with them.
“Gbà sókè” ni “Gbà sọ́kọ̀”; ohun tá a bá sọ síwájú là ḿbá.,One reaps the rewards of the good one sows.
"“Gbà mí, gbà mí!” ò yẹ àgbà; àgbà kì í ṣe ohun àlémú.",One should behave in a manner that befits one's station.
"“Gbà mí, gbà mí!” ò yẹ eégún; “ẹran ńlémi bọ̀” ò yẹ ọdẹ.",One should act in ways that become one's station.
“Ta á sí i” kì í báni wá ọfà.,"People are ever eager to goad one to action, but never to help one carry out the task."
“Ọbẹ̀ lọmú àgbà” ló pa onígbaǹso Ògòdò.,Addiction kills.
“Gbà jẹ” ò yẹ àgbà.,It better becomes an elder's to give than to go begging.
“Òru ò molówó” nIfá tí à ńdá fún “Ìwọ ta nìyẹn?”,Night-time wanderers should be prepared for indignities.
“Òkè ìhín ò jẹ́ ká rí tọ̀ún” ò ṣéé pa lówe nílé àna ẹni.,There are some obligations one cannot sidestep with flippant excuses.
"“Baálé pè mí nkò wá”, ọ̀hànhàn ní ńpa wọ́n.",A person who defies his/her main succor heads for ruin.
"“Iyán dára, ọbẹ̀-ẹ́ dùn” ló pa Akíndélé lóko Ìgbájọ; “Òrìṣà, nkò fún ọ ní èdì jẹ” ló pa abọrìṣà Ìkirè.",Closed-fistedness and stinginess brings people nothing but misfortune.
Kò tó ǹkan ní ńsọni dahun.,Only a miser does not have enough to share with others.
"Èyí ò tófò, èyí ò tófò; fìlà ìmàle-é kù pẹ́tẹ́kí.","If one keeps dispensing of one's property only a little at a time, soon little will be left."
"“Báyìí là ńṣe” níbìkan, èèwọ̀ ibòmínìn.","Different people, different ways."
“Ọ̀ràn yí ò dùn mí”: ẹ̀ẹ̀kanṣoṣo là ńwí i.,"If one is indifferent to something, it should not dominate one's conversations."
“Kiní yìí ò pọ̀; ng ò lè fún ọ níbẹ̀”: olúwarẹ̀ ahun ni.,However little one has one should be willing to spare some for others.
“Kiní yìí tí o fún mi ò pọ̀”: ahun ní ńjẹ́ bẹ́ẹ̀.,One should not be too demanding of one's benefactors.
"Èmi ló lòní, èmi ló lọ̀la” lọmọdé fi ńdígbèsè.",Lack of foresight leads to disaster
"“Ọla ni mò ńlọ,” tí ńfi koto ṣe àmù.",Short-sighted people make little provision for the future.
“Èrò tètè jí;” “Èrò jẹ́ ilẹ̀ ó mọ́”; tèrò là ńrò.,Good intention does not guarantee good reception; the person of whose welfare one is being solicitous may resent one's attention.
“Já ilé ẹ̀ kí mbá ẹ kọ́ ọ”; ìtẹ́ èèkàn kan ní ńfúnni.,One relies on other people's promise of help only at one's risk.
"“Ó ḿbọ̀, ó ḿbọ̀!” ẹ̀wọ̀n là ńso sílẹ̀ dè é.",If the thought of something fills one with apprehension one should plot to defeat it.
“À ńjùwọ́n” ò ṣéé wí lẹ́jọ́; ìjà ìlara ò tán bọ̀rọ̀.,Quarrels whose causes cannot be openly admitted will not readily end.
Kò sí kò sí; bẹ́ẹ̀ni ọmọ wọn ńyó.,Said of people who are too tight-fisted to help others.
“A ò mọ̀yí Ọlọ́run yó ṣe” kò jẹ́ ká bínú kú.,Often it is hope that keeps people going.
“Ojú ò fẹ́rakù” tó ta ajá-a ẹ̀ lókòó; ó ní bó bá jẹ́ bẹ́ẹ̀ ni wọ́n ńtà á wọn a máa tún araa wọn rí.,"If someone sells you an item at a ridiculously low price, you might expect to see the person again soon."
“M̀bá wà lỌ́yọ̀ọ́ mà ti so ẹṣin”; àgùntàn-an rẹ̀ á níye nílẹ̀yí.,What a person accomplished in his/her present circumstances is a good indication of what the person has the potential to do in more favorable circumstances.
“Níbo ló gbé wà?” nìyájú ẹkùn.,One should be smart enough to hide one's ignorance about things one should know.
“Ta ní ḿbẹ níbẹ̀?” làgbẹ́ fi ńsán ìbàǹtẹ́ wọ̀lú.,People who make a spectacle of themselves show no regard for others.
"Tìẹ́ sàn, tèmí sàn, lolókùnrùn méjì-í fi ńdìmú.",Fools will fight over the most stupid things.
Ẹyẹ ò lè rí omi inú àgbọn bù mu.,One should not attempt the impossible.
Ẹyẹ ò sọ fún ẹyẹ pé òkò ḿbọ̀.,Each person looks out for his or her own safety.
"Ẹyẹ ńwá àtifò, wọ́ ńsọ òkò sí i.",One needs little encouragement to do what one is determined to do anyway; being forced to do what one wishes to do anyway is no punishment.
"Afọ́jú àjànàkú, kò mọ igi, kò mọ èèyàn.",Fate is no respecter of persons.
"Pà-pà lójú lẹ́ẹ̀kínní, pà-pà lójú lẹ́ẹ̀kejì; bójú náà ò bá fọ́, bàì-bàì ní ńdà.",Continual attacks will eventually leave their mark on the victim.
Ara kì í wúwo kí alára má lè gbe.,"Whatever others might feel, a person is never put off by himself or his own habits."
Ẹ̀hìn ológbò kì í balẹ̀.,One's opponent in a fight will never succeed in throwing one.
"Ẹ̀wọ̀n tó tó ọ̀pẹ ò tó-ó dá erin dúró; ìtàkùn tó ní kí erin má ròkè ọ̀dàn, tòun terin ní ńlọ.",Whoever attempts to stop an irresistible force will be swept along by it.
Òfèèrèfé ò ṣé-é fẹ̀hín tì.,One can should not trust in emptiness.
"Ọmọ adìẹ-ẹ́ fò, a ní “Ẹrán lọ àkẹ́ẹ̀!”",Do not blow matters out of all credible proportion!
Adìẹ ò bí yọyọ kú yọ̀.,Children should not be the death of their parents.
Ẹyin adìẹ ò gbọdọ̀ forí sọ àpáta.,It is unwise to take on forces one cannot withstand.
Adìẹ ò lórúnkún ẹjọ́.,One should steer clear of actionable behavior.
Ọmọdé kì í ní ina níle kí tòde má jòó o.,Being secure and well respected in one's home does not save one from vicissitudes outside the home.
"Ọmọdé ò mọ oògùn, ó ńpè é lẹ́fọ̀o?; kò mọ̀ pé ikú tó pa baba òun ni.",People may call disasters on their own heads out of ignorance.
Ọmọdé ò moògùn ó ńpè é lẹ́gùn-ún.,The ignorant person knows not the value of anything.
"Ọmọde kì í mọ ìtàn, kó mọ à-gbọ́-wí, kó mọ ọjọ́ tí a ṣe ẹ̀dá òun.","However knowledgeable a youth might be, some deep knowledge would be beyond him."
Ọmọdé ò mọ ibi tí à ńpọn òun rè.,People who depend on others do not know what they have in mind for them.
"Ọmọdé ò mẹ̀fọ́, ó ńpè é légbògi.",An uninformed person will inevitably make a fool of him/herself.
"Ọmọdé ní ẹẹ́ta lọ́wọ́, ó ní kí Èṣù wá ká ṣeré owó; ẹẹ́ta-á ha tó Èṣùú sú epo lá?",People who come into some money for the first time are wont to overestimate their sudden worth.
"Ọmọdé bú ìrókò, ó bojú wẹ̀hìn; òòjọ́ ní ńjà?",The fact that there has been no repercussion for a misdeed does not mean one is home free; repercussions may be delayed.
Ọmọdé kì í mọ ori-í jẹ kó má rá a lẹ́nu.,"A youth may be clever, but he will inevitably make some mistakes."
"Ọmọdé mọ sáárá, ṣùgbọ́n kò mọ àlọ̀yí.","A child is good at consuming, but not at procuring."
"A bímọ kò gbọ́n, a ní kó má ṣàá kú; kí ní ńpa ọmọ bí àìgbọ́n?",A foolish child is not much better than a dead child.
Ọmọ àì-jọbẹ̀-rí tí ńja epo sáyà.,Upstarts will betray themselves by their misuse of their new-found fortune.
"Ọmọdé dáwọ́tilẹ̀, ó ní òún tó ọ̀bọ; bó tó ọ̀bọ, ó tó gẹ̀gẹ̀ àyàa ẹ̀?",Equality is more than mere physical resemblance.
"Ọmọdé ní wọ́n ńjẹ igún, bàbá ẹ̀-ẹ́ ní wọn kì í jẹ ẹ́; ó ní ẹnìkán jẹ ẹ́ rí lójú òun; bàbá ẹ̀-ẹ́ ní ta ni? Ó ní ẹni náà ò sí.",The youth who attempts to challenge the wisdom of the elders will find himself tripped by his own mouth.
"Ọmọdé jí ti ojú orun wá, ó ní “Àkàrà kéjìkéjì”; wọ́n ti ḿmú u kẹ́ẹ̀ kó tó jí, ì ká ká níkẹ̀?",Never misuse what those before you made available to you by their wise husbandry.
Wéré-wéré lọmọdé ḿbọ oko èèsì.,Painful problems enforce quick attention.
"Ìpọ́njú lọmọdé fi ńkọ́Fá, ìgbẹ̀hìn-in rẹ̀ a dẹni.",The ease that comes in the end makes up for the effort one makes to achieve one's goal.
Tẹ̀tẹ́ ní ńṣíwájú eré sísa.,One should observe some order in what one does.
Oko mímọ́ ṣe-é ro; ọ̀nà mímọ́ dùn-ún tọ̀; gbogbo ìyàwó dùn-ún gbàbálé; aṣọ ìgbà-á ṣe-é yọ.,Everybody loves performing the most pleasant of chores.
Aáyán kì í yán ẹsẹ̀ erin; èèyàn kì í yán ẹsẹ̀ irò.,One should not take on adversaries one cannot match.
Àkámọ́ ẹkùn-ún níyọnu.,One should be wary of what prey to stalk.
Màlúù ò lè lérí níwájú ẹṣin.,One should acknowledge and defer to those better able than oneself.
Arọ ò nasẹ̀ kan dí ọ̀nà.,A person with a handicap should not challenge those who are not handicapped.
Arọ tí kò lẹ́sẹ̀ nílẹ̀-ẹ́ lọ́gbọ́n nínú.,"Whatever handicaps one might have, one will have some asset."
Ojú kan làdá ńní.,One should concentrate on one matter at a time.
Ojú kì í pọ́n òkú ọ̀run kó ní kí ará ayé gba òun.,"However bad one's circumstances might be, one should use good sense in determining where one can turn for help."
"Ọbẹ̀ tó dùn, owó ló pa á.",Nothing good happens without money.
Ajá èṣín ò mọdẹ.,One learns from experience and maturity.
Ajá ò gbọdọ̀ dé mọ́ṣáláṣí ìkókò ṣàlùwàlá.,One should not exceed one's station.
Ajá tí yó sọnù kì í gbọ́ fèrè ọdẹ.,"No matter what help one may render, one cannot save an ill-fated person."
Ajá kì í gbó níbojì ẹkùn.,One must defer to one's superiors.
Ajá kì í dán-nu “Kò séwu” lókò ẹkùn.,Never sneer at obvious danger.
"Eegun tí a bá so mọ́ ajá lọ́rùn, kì í ṣán an.",One may not take advantage of a person or thing entrusted to one's care.
Ajá kì í lọ ságinjù lọ ṣọdẹ ẹkùn.,One should not attempt feats one is unqualified to accomplish.
Ajá kì í rorò kó ṣọ́ ojúlé méjì.,One cannot serve two masters simultaneously.
Òkú ẹran kì í ti ajá lójú.,"If one's means are limited, one cannot be too choosy."
Ajá mọ ìgbẹ́; ẹlẹ́dẹ̀-ẹ́ mọ àfọ̀; tòlótòló mọ ẹni tí yó yìnbọn ìdí sí.,People should know who are their peers and who are not.
"Ajá tó ńlépa ẹkùn, ìyọnu ló ńwá.",One should not overreach oneself.
Ajá tó rí mọ́tò tó dúró fi ara-a ẹ̀ bọ Ògún.,A person who needlessly endangers him/herself deserves his/her fate.
"Ajá tó gbé iyọ̀, kí ni yó fi ṣe?",Do not expend your effort on senseless ventures.
Ajá tó máa rún ọkà á láyà; ológbò to máa jẹ àkèré á ki ojú bọ omi.,It takes a great effort to accomplish a great feat.
Ajá tí ò létí ò ṣéé dẹ̀gbẹ́.,A person who cannot be instructed is useless.
Ajá tí ò létí ò ṣé-é dẹ̀gbẹ́.,A person who cannot be instructed is useless.
Ajá ilé ò mọdẹ-ẹ́ ṣe.,Pampering kills initiative.
Ajá ilé ò mọdẹẹ́ ṣe.,Pampering kills initiative.
"Ìyàn-án mú, ìrẹ́ yó; ìyàn-án rọ̀, ìrẹ́ rù.","One should husband one's resources wisely, and save for lean times in times of plenty."
"Àgbẹ̀ ò dáṣọ lóṣù, àfọdún.",The reward for one's labor is often a long time coming.
Àgbẹ̀ gbóko róṣù.,The conscientious farmer spends long periods on the farm; persistence in the key to success.
Àgbẹ̀ gbóko róṣù.,The conscientious farmer spends long periods on the farm; persistence is the key to success.
Àgbẹ̀ tó bá pẹ́ nílé ò níí kọ oko ọ̀sán.,He who dallies makes his tasks that much more difficult.
Ìpọ́njú àgbẹ̀ ò ju ọdún kan.,Every reversal has its end.
Ọmọ tí ò ní baba kì í jìjà ẹ̀bi.,Never provoke trouble unless you have strong backers.
Ooré di ẹrẹ̀ lAwẹ́; àwọn igúnnugún ṣoore wọ́n pá lórí.,"One should be careful about doing favors, lest they come back to haunt one."
Iná kì í jó kó wọlé akàn.,An incantatory observation invoking immunity for a person from some danger.
Ọ̀gọ̀ ńgbé ọ̀gọ rù.,A person is cultivating the means to his/her own ruin.
Àgbàbọ́ ò di tẹni.,There is nothing like having one's own.
À-gbà-bọ́ ò di tẹni.,There is nothing like having one's own.
Ọ̀gán ìmàdò ò ṣé-é kò lójú.,One would be wise to avoid dangerous people.
"A pa ẹmọ́ lóko ilá, a jù ú sí ọ̀kẹ́ ìlasa; ilé ẹmọ́ lẹmọ́ lọ.",The resourceful person will find a way to adapt to any situation.
Ewúrẹ́ ò lè rí ewé ọdán òkè fi ṣe nǹkan.,Certain people are beyond the reach of some people's machinations.
Ewúrẹ́ kì í wọlé tọ ìkokò.,Never knowingly put yourself in harm's way.
Ewúrẹ́ ò ṣe-e fiṣu ṣọ́.,Do not entrust your affairs to your enemy.
Oore kì í gbé; ìkà kì í dànù; à-ṣoore-jindò ní mmúni pàdánù oore.,"Every kindness, like every wickedness, is rewarded; one should be prudent, though in doing favors."
"Ọ̀kánjúwà-á bu òkèlè, ojù ẹ̀-ẹ́ lami.",Greed has its pains also.
Àgbà ajá kì í bàwọ̀jẹ́.,Decorum goes with age.
Àgbà kì í fàárọ̀ họ ìdí kó má kan funfun.,Improper behaviour brings disgrace.
A-báni-gbé kì í yáná; a-bọ̀rìṣà kì í sun òtútù; ẹyin gẹ́gẹ́ kì í gbé àwùjọ́; ilé kannáà ni wọ́n kọ́ fún àwọn mẹ́tẹ̀ẹ̀ta.,Know yourself and your place.
Ojú kì í pọ́n baálé ilé kó fọwọ́ gbálẹ̀ ilé ẹ̀.,"However desperate one might be, there are certain things one must not stoop to do."
"Orí tó kọ ẹrù, owó ní ńnáni.",It costs money to get others to do for one what one refuses to do for oneself.
Ẹṣin kì í já kó já èkejì-i rẹ̀.,Each person must look to his or her own salvation.
Ilé kì í jó kí oorun kun ojú.,One must not ignore grave matters.
Ilé kì í jó kí baálé ilé tàkakà.,One must not ignore matters of grave concern to one.
"Ilé tí a tó lọ sùn lọ́sàn-án, a kì í tó òru lọ sùn ún.",One should not be coy about doing what one has the right to do.
"Ilé tí a tóó kun, a kì í bo ìtùfù-u rẹ̀.",One need not be coy in doing what one has the authority or standing to do.
Òkèlè gbò-ǹ-gbò-ó fẹ ọmọ lójú toto.,A person who bites off more than he can chew will suffer in the process of trying.
Ọlọ́dẹ kì í torí atẹ́gùn yìnbọn.,One should be deliberate and attentive in pursuing one's profession.
Òwúyẹ́; a-ṣòro-ó-sọ bí ọ̀rọ̀.,The matter under reference is so delicate it almost does not bear speech.
Àkàsọ̀ faratilẹ̀ faratilé; bí ẹni tí a fẹ̀hìntì óò bá yẹni a wí fúnni.,A person one trusts should be completely trustworthy.
Ọ̀lẹ èèyàn ò rí ayé wá.,The lot of a lazy person in this world is misery.
Ọ̀lẹ ò yẹẹ́ ní lọ́mọ.,Who wants a lazy child?
Ẹkùn kì í yan kí ajá yan.,One should recognize danger and avoid it.
Adẹ́tẹ̀ ò gbọdọ̀ dúró de eléépín.,Know your weaknesses.
Láká-ǹláká ò ṣéé fi làjà; ọmọ eégún ò ṣéé gbé ṣeré.,One should know one's limits and also what one would be ill advised to attempt.
Kìnìún ò níí ṣàgbákò ẹkùn.,The stronger person has nothing to fear from the weaker.
Ara ẹ̀ lara ẹ̀: ṣòkòtò ọlọ́pàá.,"Leave nothing to waste, for one can always find some use for the smallest remnant."
"Ojo díẹ̀, akin díẹ̀; ìyà ní ńkó jẹni.",One should decide whether one will be bold or cowardly; inconsistency in such matters results in suffering.
"Ẹbọ díẹ̀, oògùn díẹ̀, ní ńgba aláìkú là.",One should not place all of one's faith in a single solution to a problem.
Aláǹgbá kì í lérí àti pa ejò.,People should not propose what they cannot accomplish.
"Aláǹgbá tó fojú di erè, ikùn ejò ni yó bàá ara-a ẹ̀.",Whoever disdains obvious danger will suffer dire consequences.
Ogun àgbọ́tẹ́lẹ̀ kì í pa arọ.,One must take advantage of foreknowledge to protect oneself.
Ọ̀rọ̀ púpọ̀ ò kún agbọ̀n; irọ́ ní ḿmú wá.,Brevity is wise in discussions; wordiness leads to invention.
Ojú kan làdá ńní.,"One should be true to one calling or relationship, and not philander."
Akọ asín kì í gbọ́ ohùn ọmọ-ọ rẹ̀ kó dúró; abiyamọ kì í gbọ́ ẹkún ọmọ-ọ rẹ̀ kó má tara ṣàṣà.,One must take one's chief responsibilities seriously.
"Ọkùnrin kì í ké, akọ igi kì í ṣoje.",Fortitude is the mark of a man.
Ẹni tí ó bá obìnrin kó lọ sílé-e rẹ̀ yó sùn nínú ẹ̀rù.,Illicit acts carried on indiscreetly are attended by great anxiety.
Ọkùnrin tó fẹ́ òjòwú méjì sílé ò rẹ́ni fi ṣọ́lé.,Jealousy is a terrible quality in a spouse.
Pamí-nkú obìnrín ṣorí bẹmbẹ sọ́kọ.,Obstinacy only invites harsh punishment.
Ojú kì í ti eégún kó má mọ̀nà ìgbàlẹ̀.,One cannot become so shamed abroad that one cannot return to the embrace of one's home.
"Ọ̀rọ̀ tí ò ní ohùn fífọ̀, dídákẹ́ ló yẹ ẹ́.",Matters that should not be mentioned should be left unbroached.
"Ọ̀ràn tí ò sunwọ̀n, konko ǹṣojú.",When one is in the wrong one hides behind braggadocio.
Ọ̀rọ̀ tí a dì ní gbòdògì: bo déwée kókò yó fàya.,If delicate matters are handled carelessly the result will be the opposite of what was desired.
Òjò ọ̀gànjọ́ ò pa ẹni rere; bí kò pa jalè-jalè a pa yíde-yíde.,Honest people are seldom caught in compromising positions.
Olóyè kékeré kì í ṣe fáàárí níwájú ọba.,One should know one's station and act accordingly.
Òkò tí ẹyẹ́ bá rí kì í pẹyẹ.,"If one sees danger approaching, one will take precautions."
Eku ò gbọdọ̀ ná ọjà tí ológìnní dá.,One should not deliberately court disaster.
"Ẹnu àìmẹ́nu, ètè àìmétè, ní ḿmú ọ̀ràn bá ẹ̀rẹ̀kẹ́.",The words that the mouth and lips allow to escape usually bring the slap to the cheek; a person who cannot keep his/her mouth shut often lands in trouble.
Apani kì í jẹ́ ká mú idà kọjá nípàkọ́ òun.,The criminal is ever suspicious of other people's intentions.
Àgbà ìmàle kì í káṣọ kọ́rùn.,One should behave as is proper for one's position.
Abẹ́rẹ́ ò ṣéé gúnyán.,Some tools are inadequate for some tasks.
Abẹ́rẹ́ tó wọnú òkun ò ṣéé wá.,Some tasks are hopelessly impossible to accomplish.
